Waypoint_ID,X(m),Y(m),Z(m)
0,2.0000,2.0000,1.0000
1,2.6599,2.6085,1.0235
2,2.6956,2.9063,1.0174
3,3.0892,3.3496,1.0883
4,3.0657,3.9420,1.1117
5,2.8579,4.0099,0.9063
6,2.8910,4.5957,1.0025
7,3.1004,4.8064,1.0448
8,2.9328,5.0439,1.1190
9,3.0763,5.2933,1.2037
10,3.3392,5.4222,1.2692
11,3.6324,5.4204,1.3326
12,4.1032,5.6615,1.5996
13,4.6817,5.5229,1.6254
14,5.4773,6.4020,1.6844
15,6.0732,6.3361,1.7027
16,6.3348,6.4818,1.7209
17,6.6212,6.5188,1.8021
18,7.1006,7.2704,1.7701
19,7.3859,7.3267,1.8437
20,7.5981,7.8692,1.7195
21,7.9766,8.3311,1.6933
22,8.0027,8.6030,1.8172
23,8.2882,8.6893,1.8499
24,8.4797,8.9117,1.9121
25,8.7488,9.0207,1.9875
26,8.9645,9.2292,1.9879
27,9.0335,9.5204,2.0093
28,9.3256,9.5499,1.9473
29,9.5693,9.4812,2.1082
30,9.7802,9.6946,2.1051
31,10.0357,9.5667,2.1963
32,10.8740,10.4209,2.2094
33,11.1383,10.5430,2.2818
34,11.3470,10.7572,2.2581
35,11.2450,11.0343,2.3111
36,11.6698,11.4541,2.3377
37,11.9378,11.5655,2.2615
38,12.7646,12.4191,2.3462
39,12.9025,12.6849,2.3294
40,12.9812,12.8771,2.5460
41,13.0560,13.1548,2.6315
42,12.9037,13.4124,2.6100
43,13.8227,14.1706,2.4835
44,14.0844,14.2093,2.6248
45,14.7383,14.8141,2.5005
46,14.6210,15.0536,2.6379
47,14.6375,15.3482,2.6924
48,14.4521,15.5811,2.7294
49,13.8967,16.1936,2.3868
50,14.0942,16.3613,2.2354
51,14.3071,16.5370,2.3530
52,15.1868,16.6882,2.2377
53,15.3140,16.7570,2.5005
54,15.5659,16.8515,2.6332
55,16.1123,16.9081,2.3919
56,16.4440,17.0909,2.8541
57,16.7345,17.1337,2.9152
58,16.9828,17.0086,2.0592
